colour	x	y	showSelected	fill
#0000FF	0.31283422459893	0.622852272727273	Adams	#0000FF
#FF0000	0.483957219251337	0.343994318181818	Adelphia	#FF0000
#0000FF	0.0989304812834225	0.86169696969697	A.K. (Harrow)	#0000FF
#0000FF	0.644385026737968	0.631195075757576	Amcor	#0000FF
#0000FF	0.494652406417112	0.581918560606061	Amsoy	#0000FF
#FF0000	0.548128342245989	0.580731060606061	Amsoy 71	#FF0000
#0000FF	0.526737967914438	0.475253787878788	Beeson	#0000FF
#FF0000	0.644385026737968	0.432589015151515	Beeson 80	#FF0000
#0000FF	0.558823529411765	0.34757196969697	Bonus	#0000FF
#FF0000	0.17379679144385	0.730125	Boone	#FF0000
#FF0000	0.740641711229946	0.262611742424242	Burlison	#FF0000
#0000FF	0.526737967914438	0.350289772727273	Calland	#0000FF
#FF0000	0.644385026737968	0.347433712121212	Century	#FF0000
#FF0000	0.697860962566845	0.281619318181818	Century 84	#FF0000
#FF0000	0.719251336898396	0.429179924242424	Chamberlain	#FF0000
#FF0000	0.227272727272727	0.642960227272727	Chief	#FF0000
#FF0000	0.815508021390374	0.40225946969697	Cisne	#FF0000
#0000FF	0.366310160427808	0.461638257575758	Clark	#0000FF
#FF0000	0.473262032085562	0.510869318181818	Clark 63	#FF0000
#FF0000	0.740641711229946	0.363789772727273	Conrad	#FF0000
#FF0000	0.772727272727273	0.276278409090909	Corsica	#FF0000
#0000FF	0.516042780748663	0.633435606060606	Corsoy	#0000FF
#FF0000	0.644385026737968	0.621791666666667	Corsoy 79	#FF0000
#0000FF	0.633689839572192	0.398850378787879	Cumberland	#0000FF
#FF0000	0.526737967914438	0.289462121212121	Cutler	#FF0000
#0000FF	0.655080213903743	0.491231060606061	Douglas	#0000FF
#FF0000	0.783422459893048	0.256388257575758	Dunbar	#FF0000
#0000FF	0.0454545454545455	0.772727272727273	Dunfield	#0000FF
#FF0000	0.836898395721925	0.388564393939394	Dwight	#FF0000
#FF0000	0.697860962566845	0.449236742424242	Elgin	#FF0000
#FF0000	0.740641711229946	0.426289772727273	Elgin 87	#FF0000
#FF0000	0.740641711229946	0.279238636363636	Flyer	#FF0000
#0000FF	0.419786096256685	0.490645833333333	Ford	#0000FF
#FF0000	0.622994652406417	0.432850378787879	Franklin	#FF0000
#FF0000	0.248663101604278	0.729049242424242	Gibson	#FF0000
#0000FF	0.601604278074866	0.632477272727273	Harcor	#0000FF
#0000FF	0.344919786096257	0.692456439393939	Harosoy	#0000FF
#FF0000	0.473262032085562	0.618280303030303	Harosoy 63	#FF0000
#FF0000	0.697860962566845	0.194462121212121	Harper	#FF0000
#0000FF	0.302139037433155	0.512147727272727	Hawkeye	#0000FF
#FF0000	0.473262032085562	0.552090909090909	Hawkeye 63	#FF0000
#FF0000	0.815508021390374	0.414268939393939	IA 2021	#FF0000
#FF0000	0.815508021390374	0.359642045454545	IA 2022	#FF0000
#FF0000	0.8475935828877	0.405732954545454	IA 2038	#FF0000
#FF0000	0.868983957219251	0.254691287878788	IA 2050	#FF0000
#FF0000	0.868983957219251	0.406041666666667	IA 2052	#FF0000
#FF0000	0.922459893048128	0.29825946969697	IA 2065	#FF0000
#FF0000	0.901069518716578	0.484541666666667	IA 2068	#FF0000
#FF0000	0.933155080213904	0.369570075757576	IA 2094	#FF0000
#FF0000	0.815508021390374	0.254066287878788	IA 3004	#FF0000
#FF0000	0.8475935828877	0.172041666666667	IA 3010	#FF0000
#FF0000	0.879679144385027	0.415922348484848	IA 3014	#FF0000
#0000FF	0.901069518716578	0.271079545454545	IA 3023	#0000FF
#FF0000	0.911764705882353	0.275094696969697	IA 3024	#FF0000
#0000FF	0.0882352941176471	0.847808712121212	Illini	#0000FF
#FF0000	0.751336898395722	0.654193181818182	Jack	#FF0000
#FF0000	0.751336898395722	0.446407196969697	Kenwood	#FF0000
#FF0000	0.0989304812834225	0.592880681818182	Korean	#FF0000
#FF0000	0.794117647058823	0.327931818181818	KS4694	#FF0000
#0000FF	0.665775401069519	0.328128787878788	Lawrence	#0000FF
#FF0000	0.922459893048128	0.227854166666667	LD00-3309	#FF0000
#0000FF	0.259358288770053	0.573051136363636	Lincoln	#0000FF
#FF0000	0.419786096256685	0.446518939393939	Lindarin	#FF0000
#FF0000	0.901069518716578	0.280314393939394	LN97-15076	#FF0000
