x	y	label	showSelected
0.5	0.0454545454545454	Parent - Beeson: 2.13	69338-51615-71
0.5	0.108585858585859	Parent - Williams: 1.91	A3127
0.5	0.0454545454545454	Parent - Douglas: 2.18	A4595
0.5	0.0454545454545454	Parent - Richland: 2.27	A50-7445
0.5	0.0454545454545454	Parent - Williams: 1.91	A5424
0.5	0.0454545454545454	Parent - Hawkeye: 2.23	A55-5629-4
0.5	0.0454545454545454	Parent - Amsoy: 2.42	A72-507
0.5	0.0454545454545454	Parent - Amsoy: 2.42	A72-512
0.5	0.108585858585859	Parent - Wayne: 2.38	A72-512
0.5	0.0454545454545454	Parent - Corsoy: 2.55	A75-105021
0.5	0.0454545454545454	Parent - Pella: 1.44	A80-244003
0.5	0.108585858585859	Parent - Century: 1.80	A81-356022
0.5	0.0454545454545454	Parent - Pella: 1.44	A83-214072-23-8
0.5	0.108585858585859	Parent - Kenwood: 2.06	A93-552034
0.5	0.0454545454545454	Parent - Dunfield: 2.92	Adams
0.5	0.108585858585859	Parent - Illini: 3.12	Adams
0.5	0.0454545454545454	Parent - Beeson: 2.13	AgriPro 25
0.5	0.0454545454545454	Parent - Amsoy 71: 2.41	Amcor
0.5	0.108585858585859	Parent - Corsoy: 2.55	Amcor
0.5	0.0454545454545454	Parent - Amcor: 2.55	Amcor 89
0.5	0.0454545454545454	Parent - Adams: 2.52	Amsoy
0.5	0.108585858585859	Parent - Harosoy: 2.71	Amsoy
0.5	0.0454545454545454	Parent - Amsoy: 2.42	Amsoy 71
0.5	0.0454545454545454	Parent - Amsoy: 2.42	Amsoy x Calland
0.5	0.108585858585859	Parent - Calland: 1.80	Amsoy x Calland
0.5	0.0454545454545454	Parent - Amsoy: 2.42	Amsoy x Portage
0.5	0.0454545454545454	Parent - Lincoln: 2.39	Anderson
0.5	0.0454545454545454	Parent - Korean: 2.45	Anoka
0.5	0.0454545454545454	Parent - Clark: 2.10	AP68-1016
0.5	0.0454545454545454	Parent - Clark: 2.10	AP68-1022
0.5	0.0454545454545454	Parent - Amsoy: 2.42	AX429
0.5	0.0454545454545454	Parent - Adams: 2.52	AX56P64-1
0.5	0.0454545454545454	Parent - Beeson: 2.13	AX901-40-2
0.5	0.0454545454545454	Parent - Elgin: 2.07	AYR
0.5	0.0454545454545454	Parent - Corsoy: 2.55	B216
0.5	0.108585858585859	Parent - Wayne: 2.38	B216
0.5	0.0454545454545454	Parent - Harosoy 63: 2.51	Baron
0.5	0.0454545454545454	Parent - Beeson: 2.13	Beeson 80
0.5	0.108585858585859	Parent - Beeson: 2.13	Beeson x AP68-1016
0.5	0.0454545454545454	Parent - Beeson: 2.13	Beeson x L15
0.5	0.0454545454545454	Parent - Mukden: 2.61	Blackhawk
0.5	0.108585858585859	Parent - Richland: 2.27	Blackhawk
0.5	0.0454545454545454	Parent - Conrad: 1.84	Blackjack 21
0.5	0.108585858585859	Parent - Williams 82: 1.97	BSR 101 x Williams 82
0.5	0.0454545454545454	Parent - Century: 1.80	Burlison
0.5	0.0454545454545454	Parent - Lincoln: 2.39	C1069
0.5	0.0454545454545454	Parent - Lincoln: 2.39	C1070
0.5	0.0454545454545454	Parent - Lincoln: 2.39	C1079
0.5	0.108585858585859	Parent - Harosoy: 2.71	C1253
0.5	0.0454545454545454	Parent - Harosoy: 2.71	C1265
0.5	0.0454545454545454	Parent - Harosoy: 2.71	C1266
0.5	0.108585858585859	Parent - Harosoy: 2.71	C1266R
0.5	0.0454545454545454	Parent - Adelphia: 1.79	C1421
0.5	0.0454545454545454	Parent - Bonus: 1.80	C1520
0.5	0.0454545454545454	Parent - Calland: 1.80	C1528
0.5	0.0454545454545454	Parent - Century 84: 1.62	C1732
0.5	0.0454545454545454	Parent - Lincoln: 2.39	C985
0.5	0.108585858585859	Parent - Calland: 1.80	Calland x Altona
0.5	0.0454545454545454	Parent - A.K. (Harrow): 3.15	Capital
