colour	x	y	clickSelects	fill
#0000FF	0.31283422459893	0.352929752066116	Adams	#0000FF
#FF0000	0.483957219251337	0.445086776859504	Adelphia	#FF0000
#0000FF	0.0989304812834225	0.282917355371901	A.K. (Harrow)	#0000FF
#0000FF	0.644385026737968	0.372838842975207	Amcor	#0000FF
#0000FF	0.494652406417112	0.391528925619835	Amsoy	#0000FF
#FF0000	0.548128342245989	0.370128099173554	Amsoy 71	#FF0000
#0000FF	0.526737967914438	0.588917355371901	Beeson	#0000FF
#FF0000	0.644385026737968	0.559549586776859	Beeson 80	#FF0000
#0000FF	0.558823529411765	0.492487603305785	Bonus	#0000FF
#FF0000	0.17379679144385	0.345669421487603	Boone	#FF0000
#FF0000	0.740641711229946	0.569752066115703	Burlison	#FF0000
#0000FF	0.526737967914438	0.466425619834711	Calland	#0000FF
#FF0000	0.644385026737968	0.537557851239669	Century	#FF0000
#FF0000	0.697860962566845	0.49195867768595	Century 84	#FF0000
#FF0000	0.719251336898396	0.554938016528925	Chamberlain	#FF0000
#FF0000	0.227272727272727	0.252896694214876	Chief	#FF0000
#FF0000	0.815508021390374	0.637557851239669	Cisne	#FF0000
#0000FF	0.366310160427808	0.37852479338843	Clark	#0000FF
#FF0000	0.473262032085562	0.372710743801653	Clark 63	#FF0000
#FF0000	0.740641711229946	0.372528925619835	Conrad	#FF0000
#FF0000	0.772727272727273	0.499962809917355	Corsica	#FF0000
#0000FF	0.516042780748663	0.310768595041322	Corsoy	#0000FF
#FF0000	0.644385026737968	0.320615702479339	Corsoy 79	#FF0000
#0000FF	0.633689839572192	0.568958677685951	Cumberland	#0000FF
#FF0000	0.526737967914438	0.551165289256198	Cutler	#FF0000
#0000FF	0.655080213903743	0.412392561983471	Douglas	#0000FF
#FF0000	0.783422459893048	0.317479338842975	Dunbar	#FF0000
#0000FF	0.0454545454545455	0.417756198347107	Dunfield	#0000FF
#FF0000	0.836898395721925	0.304603305785124	Dwight	#FF0000
#FF0000	0.697860962566845	0.37654958677686	Elgin	#FF0000
#FF0000	0.740641711229946	0.384520661157025	Elgin 87	#FF0000
#FF0000	0.740641711229946	0.252636363636364	Flyer	#FF0000
#0000FF	0.419786096256685	0.396252066115703	Ford	#0000FF
