colour	x	y	clickSelects	fill
#0000FF	0.31283422459893	0.38948347107438	Adams	#0000FF
#FF0000	0.483957219251337	0.424652892561983	Adelphia	#FF0000
#0000FF	0.0989304812834225	0.368438016528925	A.K. (Harrow)	#0000FF
#0000FF	0.644385026737968	0.465506198347107	Amcor	#0000FF
#0000FF	0.494652406417112	0.436646694214876	Amsoy	#0000FF
#FF0000	0.548128342245989	0.415006198347107	Amsoy 71	#FF0000
#0000FF	0.526737967914438	0.411754132231405	Beeson	#0000FF
#FF0000	0.644385026737968	0.454231404958678	Beeson 80	#FF0000
#0000FF	0.558823529411765	0.277311983471074	Bonus	#0000FF
#FF0000	0.17379679144385	0.166367768595041	Boone	#FF0000
#FF0000	0.740641711229946	0.58970867768595	Burlison	#FF0000
#0000FF	0.526737967914438	0.421227272727273	Calland	#0000FF
#FF0000	0.644385026737968	0.558743801652893	Century	#FF0000
#FF0000	0.697860962566845	0.554663223140496	Century 84	#FF0000
#FF0000	0.719251336898396	0.534431818181818	Chamberlain	#FF0000
#FF0000	0.227272727272727	0.181923553719008	Chief	#FF0000
#FF0000	0.815508021390374	0.516076446280992	Cisne	#FF0000
#0000FF	0.366310160427808	0.304002066115702	Clark	#0000FF
#FF0000	0.473262032085562	0.327035123966942	Clark 63	#FF0000
#FF0000	0.740641711229946	0.603803719008264	Conrad	#FF0000
#FF0000	0.772727272727273	0.478690082644628	Corsica	#FF0000
#0000FF	0.516042780748663	0.560663223140496	Corsoy	#0000FF
#FF0000	0.644385026737968	0.556043388429752	Corsoy 79	#FF0000
#0000FF	0.633689839572192	0.588557851239669	Cumberland	#0000FF
#FF0000	0.526737967914438	0.330900826446281	Cutler	#FF0000
#0000FF	0.655080213903743	0.269995867768595	Douglas	#0000FF
#FF0000	0.783422459893048	0.653371900826446	Dunbar	#FF0000
#0000FF	0.0454545454545455	0.305882231404959	Dunfield	#0000FF
#FF0000	0.836898395721925	0.639551652892562	Dwight	#FF0000
#FF0000	0.697860962566845	0.602481404958678	Elgin	#FF0000
#FF0000	0.740641711229946	0.566105371900826	Elgin 87	#FF0000
#FF0000	0.740641711229946	0.485595041322314	Flyer	#FF0000
#0000FF	0.419786096256685	0.358595041322314	Ford	#0000FF
#FF0000	0.622994652406417	0.312471074380165	Franklin	#FF0000
#FF0000	0.248663101604278	0.188667355371901	Gibson	#FF0000
#0000FF	0.601604278074866	0.503177685950413	Harcor	#0000FF
#0000FF	0.344919786096257	0.438892561983471	Harosoy	#0000FF
#FF0000	0.473262032085562	0.395402892561983	Harosoy 63	#FF0000
#FF0000	0.697860962566845	0.541913223140496	Harper	#FF0000
#0000FF	0.302139037433155	0.389101239669421	Hawkeye	#0000FF
#FF0000	0.473262032085562	0.382252066115702	Hawkeye 63	#FF0000
#FF0000	0.815508021390374	0.689902892561983	IA 2021	#FF0000
#FF0000	0.815508021390374	0.697150826446281	IA 2022	#FF0000
#FF0000	0.8475935828877	0.662561983471074	IA 2038	#FF0000
#FF0000	0.868983957219251	0.698780991735537	IA 2050	#FF0000
#FF0000	0.868983957219251	0.693415289256198	IA 2052	#FF0000
#FF0000	0.922459893048128	0.757636363636364	IA 2065	#FF0000
#FF0000	0.901069518716578	0.708570247933884	IA 2068	#FF0000
#FF0000	0.933155080213904	0.787415289256198	IA 2094	#FF0000
#FF0000	0.815508021390374	0.612326446280992	IA 3004	#FF0000
#FF0000	0.8475935828877	0.717469008264463	IA 3010	#FF0000
#FF0000	0.879679144385027	0.700690082644628	IA 3014	#FF0000
#0000FF	0.901069518716578	0.811361570247934	IA 3023	#0000FF
#FF0000	0.911764705882353	0.808847107438016	IA 3024	#FF0000
#0000FF	0.0882352941176471	0.326423553719008	Illini	#0000FF
#FF0000	0.751336898395722	0.568964876033058	Jack	#FF0000
#FF0000	0.751336898395722	0.696247933884297	Kenwood	#FF0000
#FF0000	0.0989304812834225	0.378378099173554	Korean	#FF0000
#FF0000	0.794117647058823	0.45325	KS4694	#FF0000
#0000FF	0.665775401069519	0.333979338842975	Lawrence	#0000FF
#FF0000	0.922459893048128	0.587064049586777	LD00-3309	#FF0000
#0000FF	0.259358288770053	0.351264462809917	Lincoln	#0000FF
#FF0000	0.419786096256685	0.454074380165289	Lindarin	#FF0000
#FF0000	0.901069518716578	0.502373966942149	LN97-15076	#FF0000
#FF0000	0.879679144385027	0.633188016528926	Loda	#FF0000
#FF0000	0.879679144385027	0.521865702479339	LS93-0375	#FF0000
#FF0000	0.815508021390374	0.639884297520661	Macon	#FF0000
#FF0000	0.120320855614973	0.19771694214876	Macoupin	#FF0000
#FF0000	0.163101604278075	0.217095041322314	Mandell	#FF0000
#FF0000	0.82620320855615	0.623921487603306	Maverick	#FF0000
#FF0000	0.227272727272727	0.208855371900826	Mingo	#FF0000
#FF0000	0.719251336898396	0.390506198347107	Morgan	#FF0000
#0000FF	0.141711229946524	0.289925619834711	Mukden	#0000FF
#FF0000	0.815508021390374	0.412636363636364	Mustang	#FF0000
#FF0000	0.911764705882353	0.670132231404958	NE3001	#FF0000
#0000FF	0.633689839572192	0.486545454545454	Oakland	#0000FF
#FF0000	0.82620320855615	0.483237603305785	Omaha	#FF0000
#FF0000	0.836898395721925	0.616522727272727	Pana	#FF0000
#FF0000	0.227272727272727	0.195351239669421	Patoka	#FF0000
#0000FF	0.644385026737968	0.505727272727273	Pella	#0000FF
#FF0000	0.729946524064171	0.462415289256198	Pella 86	#FF0000
#0000FF	0.355614973262032	0.278041322314049	Perry	#0000FF
#FF0000	0.70855614973262	0.533095041322314	Preston	#FF0000
#FF0000	0.751336898395722	0.535433884297521	Private 2- 1	#FF0000
#FF0000	0.804812834224599	0.682960743801653	Private 2-10	#FF0000
#FF0000	0.676470588235294	0.60473347107438	Private 2-11	#FF0000
#FF0000	0.82620320855615	0.600896694214876	Private 2-12	#FF0000
#FF0000	0.954545454545455	0.75995041322314	Private 2-13	#FF0000
#FF0000	0.954545454545455	0.754809917355372	Private 2-14	#FF0000
#FF0000	0.70855614973262	0.61922520661157	Private 2-15	#FF0000
#FF0000	0.804812834224599	0.554311983471074	Private 2-16	#FF0000
#FF0000	0.879679144385027	0.729801652892562	Private 2-17	#FF0000
#FF0000	0.836898395721925	0.607723140495868	Private 2-18	#FF0000
#FF0000	0.922459893048128	0.799006198347107	Private 2-19	#FF0000
#FF0000	0.762032085561497	0.665667355371901	Private 2- 2	#FF0000
#FF0000	0.922459893048128	0.897789256198347	Private 2-20	#FF0000
#FF0000	0.911764705882353	0.703706611570248	Private 2- 3	#FF0000
#FF0000	0.879679144385027	0.720196280991735	Private 2- 4	#FF0000
#FF0000	0.794117647058823	0.724237603305785	Private 2- 5	#FF0000
#FF0000	0.772727272727273	0.704902892561983	Private 2- 6	#FF0000
#FF0000	0.622994652406417	0.585698347107438	Private 2- 7	#FF0000
#FF0000	0.622994652406417	0.549373966942149	Private 2- 8	#FF0000
#FF0000	0.740641711229946	0.621632231404959	Private 2- 9	#FF0000
#0000FF	0.633689839572192	0.615171487603306	Private 3- 1	#0000FF
#FF0000	0.762032085561497	0.650801652892562	Private 3-10	#FF0000
#FF0000	0.82620320855615	0.71298347107438	Private 3-11	#FF0000
