x	y	label	showSelected
0.5	0.0454545454545455	Parent - Beeson: 16.58	69338-51615-71
0.5	0.107438016528926	Parent - Williams: 15.35	A3127
0.5	0.0454545454545455	Parent - Douglas: 14.44	A4595
0.5	0.0454545454545455	Parent - Richland: 14.66	A50-7445
0.5	0.0454545454545455	Parent - Williams: 15.35	A5424
0.5	0.0454545454545455	Parent - Hawkeye: 15.68	A55-5629-4
0.5	0.0454545454545455	Parent - Amsoy: 14.19	A72-507
0.5	0.0454545454545455	Parent - Amsoy: 14.19	A72-512
0.5	0.107438016528926	Parent - Wayne: 15.56	A72-512
0.5	0.0454545454545455	Parent - Corsoy: 13.21	A75-105021
0.5	0.0454545454545455	Parent - Pella: 17.38	A80-244003
0.5	0.107438016528926	Parent - Century: 15.95	A81-356022
0.5	0.0454545454545455	Parent - Pella: 17.38	A83-214072-23-8
0.5	0.107438016528926	Parent - Kenwood: 13.22	A93-552034
0.5	0.0454545454545455	Parent - Dunfield: 14.50	Adams
0.5	0.107438016528926	Parent - Illini: 12.82	Adams
0.5	0.0454545454545455	Parent - Beeson: 16.58	AgriPro 25
0.5	0.0454545454545455	Parent - Amsoy 71: 13.93	Amcor
0.5	0.107438016528926	Parent - Corsoy: 13.21	Amcor
0.5	0.0454545454545455	Parent - Amcor: 13.96	Amcor 89
0.5	0.0454545454545455	Parent - Adams: 13.72	Amsoy
0.5	0.107438016528926	Parent - Harosoy: 13.68	Amsoy
0.5	0.0454545454545455	Parent - Amsoy: 14.19	Amsoy 71
0.5	0.0454545454545455	Parent - Amsoy: 14.19	Amsoy x Calland
0.5	0.107438016528926	Parent - Calland: 15.09	Amsoy x Calland
0.5	0.0454545454545455	Parent - Amsoy: 14.19	Amsoy x Portage
0.5	0.0454545454545455	Parent - Lincoln: 12.49	Anderson
0.5	0.0454545454545455	Parent - Korean: 20.42	Anoka
0.5	0.0454545454545455	Parent - Clark: 14.03	AP68-1016
0.5	0.0454545454545455	Parent - Clark: 14.03	AP68-1022
0.5	0.0454545454545455	Parent - Amsoy: 14.19	AX429
0.5	0.0454545454545455	Parent - Adams: 13.72	AX56P64-1
0.5	0.0454545454545455	Parent - Beeson: 16.58	AX901-40-2
0.5	0.0454545454545455	Parent - Elgin: 14.01	AYR
0.5	0.0454545454545455	Parent - Corsoy: 13.21	B216
0.5	0.107438016528926	Parent - Wayne: 15.56	B216
0.5	0.0454545454545455	Parent - Harosoy 63: 14.27	Baron
0.5	0.0454545454545455	Parent - Beeson: 16.58	Beeson 80
0.5	0.107438016528926	Parent - Beeson: 16.58	Beeson x AP68-1016
0.5	0.0454545454545455	Parent - Beeson: 16.58	Beeson x L15
0.5	0.0454545454545455	Parent - Mukden: 12.91	Blackhawk
0.5	0.107438016528926	Parent - Richland: 14.66	Blackhawk
0.5	0.0454545454545455	Parent - Conrad: 13.96	Blackjack 21
0.5	0.107438016528926	Parent - Williams 82: 14.78	BSR 101 x Williams 82
0.5	0.0454545454545455	Parent - Century: 15.95	Burlison
0.5	0.0454545454545455	Parent - Lincoln: 12.49	C1069
0.5	0.0454545454545455	Parent - Lincoln: 12.49	C1070
0.5	0.0454545454545455	Parent - Lincoln: 12.49	C1079
0.5	0.107438016528926	Parent - Harosoy: 13.68	C1253
0.5	0.0454545454545455	Parent - Harosoy: 13.68	C1265
0.5	0.0454545454545455	Parent - Harosoy: 13.68	C1266
0.5	0.107438016528926	Parent - Harosoy: 13.68	C1266R
0.5	0.0454545454545455	Parent - Adelphia: 14.84	C1421
0.5	0.0454545454545455	Parent - Bonus: 15.41	C1520
0.5	0.0454545454545455	Parent - Calland: 15.09	C1528
0.5	0.0454545454545455	Parent - Century 84: 15.40	C1732
0.5	0.0454545454545455	Parent - Lincoln: 12.49	C985
0.5	0.107438016528926	Parent - Calland: 15.09	Calland x Altona
0.5	0.0454545454545455	Parent - A.K. (Harrow): 12.87	Capital
0.5	0.0454545454545455	Parent - Williams: 15.35	Cartter
0.5	0.0454545454545455	Parent - Bonus: 15.41	Century
0.5	0.107438016528926	Parent - Calland: 15.09	Century
0.5	0.0454545454545455	Parent - Century: 15.95	Century 84
0.5	0.107438016528926	Parent - Williams 82: 14.78	Century 84
0.5	0.0454545454545455	Parent - Lincoln: 12.49	Chippewa
0.5	0.107438016528926	Parent - Richland: 14.66	Chippewa
0.5	0.0454545454545455	Parent - Burlison: 16.34	Cisne
0.5	0.107438016528926	Parent - Dwight: 13.14	CL0J095-4-6
0.5	0.0454545454545455	Parent - Dwight: 13.14	CL0J173-6-2
0.5	0.0454545454545455	Parent - Dwight: 13.14	CL0J173-6-8
0.5	0.0454545454545455	Parent - Lincoln: 12.49	Clark
0.5	0.107438016528926	Parent - Richland: 14.66	Clark
0.5	0.107438016528926	Parent - Clark: 14.03	Clark x Blackhawk
0.5	0.0454545454545455	Parent - Clark: 14.03	Clark x CNS
0.5	0.0454545454545455	Parent - Clark: 14.03	Clark x (Lincoln x CNS)
0.5	0.0454545454545455	Parent - Clark: 14.03	Clark x PI 86.024
0.5	0.0454545454545455	Parent - Clark: 14.03	Clark x T145
0.5	0.0454545454545455	Parent - Clark: 14.03	Clark x T201
0.5	0.0454545454545455	Parent - Beeson: 16.58	CN210
0.5	0.0454545454545455	Parent - Beeson: 16.58	CN290
0.5	0.107438016528926	Parent - Clark: 14.03	Columbus
0.5	0.0454545454545455	Parent - Conrad: 13.96	Conrad x Elgin 87
