x	y	label	showSelected
0.5	0.0596576926469629	Parent - Beeson: 2.34	69338-51615-71
0.5	0.130680530892875	Parent - Williams: 3.00	A3127
0.5	0.0596576926469629	Parent - Douglas: 1.71	A4595
0.5	0.0596576926469629	Parent - Richland: 2.70	A50-7445
0.5	0.0596576926469629	Parent - Williams: 3.00	A5424
0.5	0.0596576926469629	Parent - Hawkeye: 2.66	A55-5629-4
0.5	0.0596576926469629	Parent - Amsoy: 2.55	A72-507
0.5	0.0596576926469629	Parent - Amsoy: 2.55	A72-512
0.5	0.130680530892875	Parent - Wayne: 2.58	A72-512
0.5	0.0596576926469629	Parent - Corsoy: 2.64	A75-105021
0.5	0.0596576926469629	Parent - Pella: 2.83	A80-244003
0.5	0.130680530892875	Parent - Century: 2.62	A81-356022
0.5	0.0596576926469629	Parent - Pella: 2.83	A83-214072-23-8
0.5	0.130680530892875	Parent - Kenwood: 2.66	A93-552034
0.5	0.0596576926469629	Parent - Dunfield: 2.67	Adams
0.5	0.130680530892875	Parent - Illini: 3.00	Adams
0.5	0.0596576926469629	Parent - Beeson: 2.34	AgriPro 25
0.5	0.0596576926469629	Parent - Amsoy 71: 2.60	Amcor
0.5	0.130680530892875	Parent - Corsoy: 2.64	Amcor
0.5	0.0596576926469629	Parent - Amcor: 2.62	Amcor 89
0.5	0.0596576926469629	Parent - Adams: 2.67	Amsoy
0.5	0.130680530892875	Parent - Harosoy: 2.71	Amsoy
0.5	0.0596576926469629	Parent - Amsoy: 2.55	Amsoy 71
0.5	0.0596576926469629	Parent - Amsoy: 2.55	Amsoy x Calland
0.5	0.130680530892875	Parent - Calland: 3.08	Amsoy x Calland
0.5	0.0596576926469629	Parent - Amsoy: 2.55	Amsoy x Portage
0.5	0.0596576926469629	Parent - Lincoln: 2.58	Anderson
0.5	0.0596576926469629	Parent - Korean: 2.44	Anoka
0.5	0.0596576926469629	Parent - Clark: 2.36	AP68-1016
0.5	0.0596576926469629	Parent - Clark: 2.36	AP68-1022
0.5	0.0596576926469629	Parent - Amsoy: 2.55	AX429
0.5	0.0596576926469629	Parent - Adams: 2.67	AX56P64-1
0.5	0.0596576926469629	Parent - Beeson: 2.34	AX901-40-2
0.5	0.0596576926469629	Parent - Elgin: 2.64	AYR
0.5	0.0596576926469629	Parent - Corsoy: 2.64	B216
0.5	0.130680530892875	Parent - Wayne: 2.58	B216
0.5	0.0596576926469629	Parent - Harosoy 63: 2.51	Baron
0.5	0.0596576926469629	Parent - Beeson: 2.34	Beeson 80
0.5	0.130680530892875	Parent - Beeson: 2.34	Beeson x AP68-1016
0.5	0.0596576926469629	Parent - Beeson: 2.34	Beeson x L15
0.5	0.0596576926469629	Parent - Mukden: 2.45	Blackhawk
0.5	0.130680530892875	Parent - Richland: 2.70	Blackhawk
0.5	0.0596576926469629	Parent - Conrad: 2.59	Blackjack 21
0.5	0.130680530892875	Parent - Williams 82: 2.35	BSR 101 x Williams 82
0.5	0.0596576926469629	Parent - Century: 2.62	Burlison
0.5	0.0596576926469629	Parent - Lincoln: 2.58	C1069
0.5	0.0596576926469629	Parent - Lincoln: 2.58	C1070
0.5	0.0596576926469629	Parent - Lincoln: 2.58	C1079
0.5	0.130680530892875	Parent - Harosoy: 2.71	C1253
0.5	0.0596576926469629	Parent - Harosoy: 2.71	C1265
0.5	0.0596576926469629	Parent - Harosoy: 2.71	C1266
0.5	0.130680530892875	Parent - Harosoy: 2.71	C1266R
0.5	0.0596576926469629	Parent - Adelphia: 3.00	C1421
0.5	0.0596576926469629	Parent - Bonus: 1.86	C1520
0.5	0.0596576926469629	Parent - Calland: 3.08	C1528
0.5	0.0596576926469629	Parent - Century 84: 2.31	C1732
0.5	0.0596576926469629	Parent - Lincoln: 2.58	C985
0.5	0.130680530892875	Parent - Calland: 3.08	Calland x Altona
0.5	0.0596576926469629	Parent - A.K. (Harrow): 3.00	Capital
0.5	0.0596576926469629	Parent - Williams: 3.00	Cartter
0.5	0.0596576926469629	Parent - Bonus: 1.86	Century
0.5	0.130680530892875	Parent - Calland: 3.08	Century
0.5	0.0596576926469629	Parent - Century: 2.62	Century 84
0.5	0.130680530892875	Parent - Williams 82: 2.35	Century 84
0.5	0.0596576926469629	Parent - Lincoln: 2.58	Chippewa
0.5	0.130680530892875	Parent - Richland: 2.70	Chippewa
0.5	0.0596576926469629	Parent - Burlison: 2.62	Cisne
0.5	0.130680530892875	Parent - Dwight: 2.66	CL0J095-4-6
0.5	0.0596576926469629	Parent - Dwight: 2.66	CL0J173-6-2
0.5	0.0596576926469629	Parent - Dwight: 2.66	CL0J173-6-8
0.5	0.0596576926469629	Parent - Lincoln: 2.58	Clark
0.5	0.130680530892875	Parent - Richland: 2.70	Clark
0.5	0.130680530892875	Parent - Clark: 2.36	Clark x Blackhawk
0.5	0.0596576926469629	Parent - Clark: 2.36	Clark x CNS
0.5	0.0596576926469629	Parent - Clark: 2.36	Clark x (Lincoln x CNS)
0.5	0.0596576926469629	Parent - Clark: 2.36	Clark x PI 86.024
0.5	0.0596576926469629	Parent - Clark: 2.36	Clark x T145
0.5	0.0596576926469629	Parent - Clark: 2.36	Clark x T201
0.5	0.0596576926469629	Parent - Beeson: 2.34	CN210
0.5	0.0596576926469629	Parent - Beeson: 2.34	CN290
0.5	0.130680530892875	Parent - Clark: 2.36	Columbus
0.5	0.0596576926469629	Parent - Conrad: 2.59	Conrad x Elgin 87
0.5	0.130680530892875	Parent - Elgin 87: 2.64	Conrad x Elgin 87
0.5	0.130680530892875	Parent - Harosoy: 2.71	Corsoy
0.5	0.0596576926469629	Parent - Corsoy: 2.64	Corsoy 79
0.5	0.0596576926469629	Parent - Corsoy: 2.64	Corsoy x Hark
0.5	0.0596576926469629	Parent - Corsoy: 2.64	Corsoy x Wayne
0.5	0.130680530892875	Parent - Wayne: 2.58	Corsoy x Wayne
0.5	0.130680530892875	Parent - Williams: 3.00	Crawford
0.5	0.0596576926469629	Parent - Corsoy: 2.64	Cumberland
0.5	0.130680530892875	Parent - Williams: 3.00	Cumberland
0.5	0.130680530892875	Parent - Clark: 2.36	Cutler
0.5	0.0596576926469629	Parent - Cutler: 1.86	Cutler 71
0.5	0.130680530892875	Parent - Savoy: 2.55	CX1705R-108
0.5	0.0596576926469629	Parent - Mukden: 2.45	CX291-42-1
0.5	0.130680530892875	Parent - Perry: 1.93	D56-1185
0.5	0.0596576926469629	Parent - Cumberland: 2.58	Delsoy 4500
0.5	0.0596576926469629	Parent - Elgin: 2.64	Dimon
