colour	x	y	showSelected	fill
#0000FF	0.31283422459893	0.57197931360853	Adams	#0000FF
#FF0000	0.483957219251337	0.548870662744741	Adelphia	#FF0000
#0000FF	0.0989304812834225	0.568484827324464	A.K. (Harrow)	#0000FF
#0000FF	0.644385026737968	0.279343293526117	Amcor	#0000FF
#0000FF	0.494652406417112	0.23690614326759	Amsoy	#0000FF
#FF0000	0.548128342245989	0.27062370383201	Amsoy 71	#FF0000
#0000FF	0.526737967914438	0.309572413630492	Beeson	#0000FF
#FF0000	0.644385026737968	0.245974879298902	Beeson 80	#FF0000
#0000FF	0.558823529411765	0.428224732952175	Bonus	#0000FF
#FF0000	0.17379679144385	0.452089111818573	Boone	#FF0000
#FF0000	0.740641711229946	0.246981508998378	Burlison	#FF0000
#0000FF	0.526737967914438	0.401218037050926	Calland	#0000FF
#FF0000	0.644385026737968	0.314415118671213	Century	#FF0000
#FF0000	0.697860962566845	0.202645969997296	Century 84	#FF0000
#FF0000	0.719251336898396	0.604693267385485	Chamberlain	#FF0000
#FF0000	0.227272727272727	0.432864902888196	Chief	#FF0000
#FF0000	0.815508021390374	0.662631910433536	Cisne	#FF0000
#0000FF	0.366310160427808	0.427561203765883	Clark	#0000FF
#FF0000	0.473262032085562	0.46654014268447	Clark 63	#FF0000
#FF0000	0.740641711229946	0.330500033478751	Conrad	#FF0000
#FF0000	0.772727272727273	0.448376975869756	Corsica	#FF0000
#0000FF	0.516042780748663	0.28244328979282	Corsoy	#0000FF
#FF0000	0.644385026737968	0.279925204088126	Corsoy 79	#FF0000
#0000FF	0.633689839572192	0.551759055170714	Cumberland	#0000FF
#FF0000	0.526737967914438	0.391630871609823	Cutler	#FF0000
#0000FF	0.655080213903743	0.432068365573446	Douglas	#0000FF
#FF0000	0.783422459893048	0.67368216528769	Dunbar	#FF0000
#0000FF	0.0454545454545455	0.423587585928163	Dunfield	#0000FF
#FF0000	0.836898395721925	0.368092967240551	Dwight	#FF0000
#FF0000	0.697860962566845	0.281474446493475	Elgin	#FF0000
#FF0000	0.740641711229946	0.237409458117327	Elgin 87	#FF0000
#FF0000	0.740641711229946	0.462297485677821	Flyer	#FF0000
#0000FF	0.419786096256685	0.551154472768626	Ford	#0000FF
#FF0000	0.622994652406417	0.417883350964468	Franklin	#FF0000
#FF0000	0.248663101604278	0.413507685829359	Gibson	#FF0000
#0000FF	0.601604278074866	0.34638845900561	Harcor	#0000FF
#0000FF	0.344919786096257	0.267135263371965	Harosoy	#0000FF
#FF0000	0.473262032085562	0.284574442760179	Harosoy 63	#FF0000
#FF0000	0.697860962566845	0.618424845192897	Harper	#FF0000
#0000FF	0.302139037433155	0.313834719565209	Hawkeye	#0000FF
#FF0000	0.473262032085562	0.331468876778096	Hawkeye 63	#FF0000
#FF0000	0.815508021390374	0.247486335304121	IA 2021	#FF0000
#FF0000	0.815508021390374	0.309301863005558	IA 2022	#FF0000
#FF0000	0.8475935828877	0.284767909128847	IA 2038	#FF0000
#FF0000	0.868983957219251	0.253027333019253	IA 2050	#FF0000
#FF0000	0.868983957219251	0.388051743789465	IA 2052	#FF0000
#FF0000	0.922459893048128	0.288798962294765	IA 2065	#FF0000
#FF0000	0.901069518716578	0.23690614326759	IA 2068	#FF0000
#FF0000	0.933155080213904	0.324686973682679	IA 2094	#FF0000
#FF0000	0.815508021390374	0.660784911195158	IA 3004	#FF0000
#FF0000	0.8475935828877	0.723930520181187	IA 3010	#FF0000
#FF0000	0.879679144385027	0.787747215633534	IA 3014	#FF0000
#0000FF	0.901069518716578	0.583936442065816	IA 3023	#0000FF
#FF0000	0.911764705882353	0.708815960129	IA 3024	#FF0000
#0000FF	0.0882352941176471	0.611813736626071	Illini	#0000FF
#FF0000	0.751336898395722	0.352978407188364	Jack	#FF0000
#FF0000	0.751336898395722	0.309959346367828	Kenwood	#FF0000
#FF0000	0.0989304812834225	0.158618768021279	Korean	#FF0000
#FF0000	0.794117647058823	0.42159397545728	KS4694	#FF0000
#0000FF	0.665775401069519	0.455609292854728	Lawrence	#0000FF
#FF0000	0.922459893048128	0.425705135791475	LD00-3309	#FF0000
#0000FF	0.259358288770053	0.521126376312945	Lincoln	#0000FF
#FF0000	0.419786096256685	0.275079476135395	Lindarin	#FF0000
#FF0000	0.901069518716578	0.492792622039115	LN97-15076	#FF0000
#FF0000	0.879679144385027	0.196795123801094	Loda	#FF0000
#FF0000	0.879679144385027	0.515332965444942	LS93-0375	#FF0000
#FF0000	0.815508021390374	0.579838884835668	Macon	#FF0000
#FF0000	0.120320855614973	0.548875197112756	Macoupin	#FF0000
#FF0000	0.163101604278075	0.558206926488977	Mandell	#FF0000
#FF0000	0.82620320855615	0.698740594398212	Maverick	#FF0000
#FF0000	0.227272727272727	0.485186975420854	Mingo	#FF0000
#FF0000	0.719251336898396	0.371876141621614	Morgan	#FF0000
#0000FF	0.141711229946524	0.311316633860514	Mukden	#0000FF
#FF0000	0.815508021390374	0.42000392373979	Mustang	#FF0000
#FF0000	0.911764705882353	0.749120445964163	NE3001	#FF0000
#0000FF	0.633689839572192	0.700714555941027	Oakland	#0000FF
#FF0000	0.82620320855615	0.385796651429679	Omaha	#FF0000
#FF0000	0.836898395721925	0.62020382891104	Pana	#FF0000
#FF0000	0.227272727272727	0.454078187921441	Patoka	#FF0000
#0000FF	0.644385026737968	0.555655588752168	Pella	#0000FF
#FF0000	0.729946524064171	0.567745725337913	Pella 86	#FF0000
#0000FF	0.355614973262032	0.42981629612567	Perry	#0000FF
#FF0000	0.70855614973262	0.23438654610689	Preston	#FF0000
#FF0000	0.751336898395722	0.254927233217813	Private 2- 1	#FF0000
#FF0000	0.804812834224599	0.354721115962381	Private 2-10	#FF0000
#FF0000	0.676470588235294	0.343289974194912	Private 2-11	#FF0000
#FF0000	0.82620320855615	0.235898002112109	Private 2-12	#FF0000
#FF0000	0.954545454545455	0.290310418299984	Private 2-13	#FF0000
#FF0000	0.954545454545455	0.345808059899606	Private 2-14	#FF0000
#FF0000	0.70855614973262	0.344839216600261	Private 2-15	#FF0000
#FF0000	0.804812834224599	0.3558849370864	Private 2-16	#FF0000
#FF0000	0.879679144385027	0.29736438347634	Private 2-17	#FF0000
#FF0000	0.836898395721925	0.382043706168721	Private 2-18	#FF0000
#FF0000	0.922459893048128	0.289225192888237	Private 2-19	#FF0000
#FF0000	0.762032085561497	0.227332580930534	Private 2- 2	#FF0000
#FF0000	0.922459893048128	0.252524018169515	Private 2-20	#FF0000
#FF0000	0.911764705882353	0.253956878462462	Private 2- 3	#FF0000
#FF0000	0.879679144385027	0.274304099204717	Private 2- 4	#FF0000
#FF0000	0.794117647058823	0.323394678798217	Private 2- 5	#FF0000
#FF0000	0.772727272727273	0.359758798827775	Private 2- 6	#FF0000
#FF0000	0.622994652406417	0.219271986054702	Private 2- 7	#FF0000
#FF0000	0.622994652406417	0.352978407188364	Private 2- 8	#FF0000
#FF0000	0.740641711229946	0.257561701034909	Private 2- 9	#FF0000
#0000FF	0.633689839572192	0.533688087172318	Private 3- 1	#0000FF
#FF0000	0.762032085561497	0.698740594398212	Private 3-10	#FF0000
#FF0000	0.82620320855615	0.583129324559029	Private 3-11	#FF0000
#FF0000	0.836898395721925	0.737365852611577	Private 3-12	#FF0000
#FF0000	0.911764705882353	0.702300073290502	Private 3-13	#FF0000
#FF0000	0.943850267379679	0.631832971415193	Private 3-14	#FF0000
#FF0000	0.687165775401069	0.541346634750762	Private 3-15	#FF0000
#FF0000	0.772727272727273	0.757519606985164	Private 3-16	#FF0000
#FF0000	0.783422459893048	0.725609747802985	Private 3-17	#FF0000
#FF0000	0.794117647058823	0.715532870616192	Private 3-18	#FF0000
#FF0000	0.804812834224599	0.73649223104056	Private 3-19	#FF0000
#FF0000	0.719251336898396	0.623099778617039	Private 3- 2	#FF0000
#FF0000	0.868983957219251	0.563894535436615	Private 3-20	#FF0000
#FF0000	0.879679144385027	0.764236517472356	Private 3-21	#FF0000
#FF0000	0.933155080213904	0.603014039763687	Private 3-22	#FF0000
#FF0000	0.933155080213904	0.639893566291025	Private 3-23	#FF0000
#FF0000	0.772727272727273	0.690342944833216	Private 3- 3	#FF0000
#FF0000	0.82620320855615	0.722251292559389	Private 3- 4	#FF0000
#FF0000	0.836898395721925	0.735685113533774	Private 3- 5	#FF0000
#FF0000	0.8475935828877	0.678653344088854	Private 3- 6	#FF0000
#FF0000	0.858288770053476	0.732328169746183	Private 3- 7	#FF0000
#FF0000	0.890374331550802	0.61933776462005	Private 3- 8	#FF0000
#FF0000	0.751336898395722	0.685036222798893	Private 3- 9	#FF0000
#FF0000	0.70855614973262	0.507364569385429	Private 4- 1	#FF0000
#FF0000	0.868983957219251	0.599425843207298	Private 4-10	#FF0000
#FF0000	0.868983957219251	0.505653601187521	Private 4-11	#FF0000
#FF0000	0.580213903743315	0.468131705857965	Private 4-12	#FF0000
#FF0000	0.697860962566845	0.385532146628765	Private 4-13	#FF0000
#FF0000	0.783422459893048	0.527288582446222	Private 4-14	#FF0000
#FF0000	0.794117647058823	0.624847021759072	Private 4-15	#FF0000
#FF0000	0.804812834224599	0.440555191042749	Private 4-16	#FF0000
#FF0000	0.82620320855615	0.484041291768898	Private 4-17	#FF0000
#FF0000	0.836898395721925	0.707975590590098	Private 4-18	#FF0000
#FF0000	0.933155080213904	0.447317445210098	Private 4-19	#FF0000
#FF0000	0.751336898395722	0.48046216394854	Private 4- 2	#FF0000
#FF0000	0.954545454545455	0.463756040722857	Private 4-20	#FF0000
#FF0000	0.783422459893048	0.502784857689616	Private 4- 3	#FF0000
#FF0000	0.879679144385027	0.465480612024812	Private 4- 4	#FF0000
#FF0000	0.911764705882353	0.575380089620273	Private 4- 5	#FF0000
#FF0000	0.655080213903743	0.456523723737885	Private 4- 6	#FF0000
#FF0000	0.655080213903743	0.435251491920436	Private 4- 7	#FF0000
#FF0000	0.762032085561497	0.417750342836008	Private 4- 8	#FF0000
#FF0000	0.762032085561497	0.692861030537911	Private 4- 9	#FF0000
#FF0000	0.772727272727273	0.292520166979614	RCAT Angora	#FF0000
#FF0000	0.729946524064171	0.563302044682569	Resnik	#FF0000
#0000FF	0.205882352941176	0.246399598436369	Richland	#0000FF
#FF0000	0.441176470588235	0.628607524300056	Ross	#FF0000
#FF0000	0.82620320855615	0.38902058708881	Savoy	#FF0000
#FF0000	0.152406417112299	0.438300098682963	Scioto	#FF0000
#0000FF	0.419786096256685	0.675429408429723	Shelby	#0000FF
#FF0000	0.665775401069519	0.478606095974131	Sparks	#FF0000
#FF0000	0.740641711229946	0.502098656663246	Spencer	#FF0000
#FF0000	0.804812834224599	0.505532684707103	Stressland	#FF0000
#FF0000	0.783422459893048	0.660113824728841	Thorne	#FF0000
#FF0000	0.879679144385027	0.954545454545455	U98-311442	#FF0000
#FF0000	0.622994652406417	0.436444030708554	Union	#FF0000
#FF0000	0.633689839572192	0.206172196857471	Vickery	#FF0000
#FF0000	0.31283422459893	0.493323143096946	Wabash	#FF0000
#0000FF	0.483957219251337	0.592131556526112	Wayne	#0000FF
#FF0000	0.56951871657754	0.312865876265863	Wells	#FF0000
#FF0000	0.633689839572192	0.190592108355676	Wells II	#FF0000
#0000FF	0.558823529411765	0.566873615222901	Williams	#0000FF
#FF0000	0.665775401069519	0.647887657102627	Williams 82	#FF0000
#0000FF	0.590909090909091	0.586286756153931	Woodworth	#0000FF
#0000FF	0.697860962566845	0.558475965657906	Zane	#0000FF
