x	y	label	showSelected
0.5	0.0454545454545454	Parent - Beeson: 41.73	69338-51615-71
0.5	0.107438016528926	Parent - Williams: 47.11	A3127
0.5	0.0454545454545454	Parent - Douglas: 34.87	A4595
0.5	0.0454545454545454	Parent - Richland: 37.55	A50-7445
0.5	0.0454545454545454	Parent - Williams: 47.11	A5424
0.5	0.0454545454545454	Parent - Hawkeye: 40.63	A55-5629-4
0.5	0.0454545454545454	Parent - Amsoy: 42.93	A72-507
0.5	0.0454545454545454	Parent - Amsoy: 42.93	A72-512
0.5	0.107438016528926	Parent - Wayne: 46.30	A72-512
0.5	0.0454545454545454	Parent - Corsoy: 48.94	A75-105021
0.5	0.0454545454545454	Parent - Pella: 46.28	A80-244003
0.5	0.107438016528926	Parent - Century: 48.84	A81-356022
0.5	0.0454545454545454	Parent - Pella: 46.28	A83-214072-23-8
0.5	0.107438016528926	Parent - Kenwood: 55.50	A93-552034
0.5	0.0454545454545454	Parent - Dunfield: 36.60	Adams
0.5	0.107438016528926	Parent - Illini: 37.60	Adams
0.5	0.0454545454545454	Parent - Beeson: 41.73	AgriPro 25
0.5	0.0454545454545454	Parent - Amsoy 71: 41.89	Amcor
0.5	0.107438016528926	Parent - Corsoy: 48.94	Amcor
0.5	0.0454545454545454	Parent - Amcor: 44.33	Amcor 89
0.5	0.0454545454545454	Parent - Adams: 40.65	Amsoy
0.5	0.107438016528926	Parent - Harosoy: 43.04	Amsoy
0.5	0.0454545454545454	Parent - Amsoy: 42.93	Amsoy 71
0.5	0.0454545454545454	Parent - Amsoy: 42.93	Amsoy x Calland
0.5	0.107438016528926	Parent - Calland: 42.19	Amsoy x Calland
0.5	0.0454545454545454	Parent - Amsoy: 42.93	Amsoy x Portage
0.5	0.0454545454545454	Parent - Lincoln: 38.80	Anderson
0.5	0.0454545454545454	Parent - Korean: 40.11	Anoka
0.5	0.0454545454545454	Parent - Clark: 36.51	AP68-1016
0.5	0.0454545454545454	Parent - Clark: 36.51	AP68-1022
0.5	0.0454545454545454	Parent - Amsoy: 42.93	AX429
0.5	0.0454545454545454	Parent - Adams: 40.65	AX56P64-1
0.5	0.0454545454545454	Parent - Beeson: 41.73	AX901-40-2
0.5	0.0454545454545454	Parent - Elgin: 50.96	AYR
0.5	0.0454545454545454	Parent - Corsoy: 48.94	B216
0.5	0.107438016528926	Parent - Wayne: 46.30	B216
0.5	0.0454545454545454	Parent - Harosoy 63: 40.94	Baron
0.5	0.0454545454545454	Parent - Beeson: 41.73	Beeson 80
0.5	0.107438016528926	Parent - Beeson: 41.73	Beeson x AP68-1016
0.5	0.0454545454545454	Parent - Beeson: 41.73	Beeson x L15
0.5	0.0454545454545454	Parent - Mukden: 35.83	Blackhawk
0.5	0.107438016528926	Parent - Richland: 37.55	Blackhawk
0.5	0.0454545454545454	Parent - Conrad: 51.02	Blackjack 21
0.5	0.107438016528926	Parent - Williams 82: 44.41	BSR 101 x Williams 82
0.5	0.0454545454545454	Parent - Century: 48.84	Burlison
0.5	0.0454545454545454	Parent - Lincoln: 38.80	C1069
0.5	0.0454545454545454	Parent - Lincoln: 38.80	C1070
0.5	0.0454545454545454	Parent - Lincoln: 38.80	C1079
0.5	0.107438016528926	Parent - Harosoy: 43.04	C1253
0.5	0.0454545454545454	Parent - Harosoy: 43.04	C1265
0.5	0.0454545454545454	Parent - Harosoy: 43.04	C1266
0.5	0.107438016528926	Parent - Harosoy: 43.04	C1266R
0.5	0.0454545454545454	Parent - Adelphia: 42.35	C1421
0.5	0.0454545454545454	Parent - Bonus: 35.22	C1520
0.5	0.0454545454545454	Parent - Calland: 42.19	C1528
0.5	0.0454545454545454	Parent - Century 84: 48.65	C1732
0.5	0.0454545454545454	Parent - Lincoln: 38.80	C985
0.5	0.107438016528926	Parent - Calland: 42.19	Calland x Altona
0.5	0.0454545454545454	Parent - A.K. (Harrow): 39.63	Capital
0.5	0.0454545454545454	Parent - Williams: 47.11	Cartter
0.5	0.0454545454545454	Parent - Bonus: 35.22	Century
0.5	0.107438016528926	Parent - Calland: 42.19	Century
0.5	0.0454545454545454	Parent - Century: 48.84	Century 84
0.5	0.107438016528926	Parent - Williams 82: 44.41	Century 84
0.5	0.0454545454545454	Parent - Lincoln: 38.80	Chippewa
0.5	0.107438016528926	Parent - Richland: 37.55	Chippewa
0.5	0.0454545454545454	Parent - Burlison: 50.34	Cisne
0.5	0.107438016528926	Parent - Dwight: 52.75	CL0J095-4-6
0.5	0.0454545454545454	Parent - Dwight: 52.75	CL0J173-6-2
0.5	0.0454545454545454	Parent - Dwight: 52.75	CL0J173-6-8
0.5	0.0454545454545454	Parent - Lincoln: 38.80	Clark
0.5	0.107438016528926	Parent - Richland: 37.55	Clark
0.5	0.107438016528926	Parent - Clark: 36.51	Clark x Blackhawk
0.5	0.0454545454545454	Parent - Clark: 36.51	Clark x CNS
0.5	0.0454545454545454	Parent - Clark: 36.51	Clark x (Lincoln x CNS)
0.5	0.0454545454545454	Parent - Clark: 36.51	Clark x PI 86.024
0.5	0.0454545454545454	Parent - Clark: 36.51	Clark x T145
0.5	0.0454545454545454	Parent - Clark: 36.51	Clark x T201
0.5	0.0454545454545454	Parent - Beeson: 41.73	CN210
0.5	0.0454545454545454	Parent - Beeson: 41.73	CN290
0.5	0.107438016528926	Parent - Clark: 36.51	Columbus
0.5	0.0454545454545454	Parent - Conrad: 51.02	Conrad x Elgin 87
0.5	0.107438016528926	Parent - Elgin 87: 49.20	Conrad x Elgin 87
0.5	0.107438016528926	Parent - Harosoy: 43.04	Corsoy
0.5	0.0454545454545454	Parent - Corsoy: 48.94	Corsoy 79
0.5	0.0454545454545454	Parent - Corsoy: 48.94	Corsoy x Hark
0.5	0.0454545454545454	Parent - Corsoy: 48.94	Corsoy x Wayne
0.5	0.107438016528926	Parent - Wayne: 46.30	Corsoy x Wayne
0.5	0.107438016528926	Parent - Williams: 47.11	Crawford
0.5	0.0454545454545454	Parent - Corsoy: 48.94	Cumberland
0.5	0.107438016528926	Parent - Williams: 47.11	Cumberland
0.5	0.107438016528926	Parent - Clark: 36.51	Cutler
0.5	0.0454545454545454	Parent - Cutler: 37.82	Cutler 71
0.5	0.107438016528926	Parent - Savoy: 54.21	CX1705R-108
0.5	0.0454545454545454	Parent - Mukden: 35.83	CX291-42-1
0.5	0.107438016528926	Parent - Perry: 35.26	D56-1185
0.5	0.0454545454545454	Parent - Cumberland: 50.29	Delsoy 4500
0.5	0.0454545454545454	Parent - Elgin: 50.96	Dimon
0.5	0.0454545454545454	Parent - Dunfield: 36.60	Dorman
0.5	0.0454545454545454	Parent - Calland: 42.19	Douglas
0.5	0.107438016528926	Parent - Williams: 47.11	Douglas
0.5	0.0454545454545454	Parent - Williams: 47.11	DSR-304
0.5	0.0454545454545454	Parent - Dunfield: 36.60	Dunfield x Haberlandt
0.5	0.0454545454545454	Parent - Jack: 49.34	Dwight
0.5	0.0454545454545454	Parent - Franklin: 36.92	Egyptian
0.5	0.107438016528926	Parent - Williams: 47.11	Elf
0.5	0.0454545454545454	Parent - Elgin: 50.96	Elgin 87
0.5	0.0454545454545454	Parent - Harosoy: 43.04	Evans
0.5	0.107438016528926	Parent - Williams: 47.11	Fayette
0.5	0.0454545454545454	Parent - Harosoy 63: 40.94	FH22-815
0.5	0.0454545454545454	Parent - Lincoln: 38.80	Ford
0.5	0.107438016528926	Parent - Richland: 37.55	Ford
0.5	0.0454545454545454	Parent - Amsoy 71: 41.89	Fremont
0.5	0.107438016528926	Parent - Williams: 47.11	Fremont
0.5	0.0454545454545454	Parent - Dunfield: 36.60	Gibson
0.5	0.107438016528926	Parent - Williams: 47.11	Gnome
0.5	0.0454545454545454	Parent - Lincoln: 38.80	Grant
0.5	0.0454545454545454	Parent - Dunfield: 36.60	H2
0.5	0.0454545454545454	Parent - Dunfield: 36.60	Haberlandt x Dunfield
0.5	0.0454545454545454	Parent - Corsoy: 48.94	Harcor
0.5	0.0454545454545454	Parent - Harcor: 46.15	Harcor x (M61-96 x Hobbitt 87)
0.5	0.0454545454545454	Parent - Corsoy: 48.94	Hardin
0.5	0.0454545454545454	Parent - Harosoy: 43.04	Hark
0.5	0.107438016528926	Parent - Hawkeye: 40.63	Hark
0.5	0.0454545454545454	Parent - A.K. (Harrow): 39.63	Harosoy
0.5	0.107438016528926	Parent - Harosoy: 43.04	Harosoy 63
0.5	0.0454545454545454	Parent - Harosoy: 43.04	Harosoy x T117
0.5	0.0454545454545454	Parent - Harper: 48.03	Harper 87
0.5	0.0454545454545454	Parent - Mukden: 35.83	Hawkeye
0.5	0.107438016528926	Parent - Richland: 37.55	Hawkeye
0.5	0.0454545454545454	Parent - Hawkeye: 40.63	Hawkeye 63
0.5	0.0454545454545454	Parent - Hawkeye: 40.63	Hawkeye x Lee
0.5	0.0454545454545454	Parent - Amcor: 44.33	Hayes
0.5	0.107438016528926	Parent - Williams: 47.11	HC74-634RE
0.5	0.0454545454545454	Parent - Richland: 37.55	Henry
0.5	0.0454545454545454	Parent - Zane: 50.15	HM8632
0.5	0.0454545454545454	Parent - Zane: 50.15	HM8778
0.5	0.107438016528926	Parent - Williams: 47.11	Hobbit
0.5	0.0454545454545454	Parent - Corsoy: 48.94	Hodgson
0.5	0.0454545454545454	Parent - Harcor: 46.15	Hoyt
0.5	0.0454545454545454	Parent - Woodworth: 45.19	HW79022
0.5	0.0454545454545454	Parent - Cumberland: 50.29	HW79116
0.5	0.0454545454545454	Parent - Williams: 47.11	HW8400
0.5	0.0454545454545454	Parent - Pella 86: 44.18	IA 2003
0.5	0.0454545454545454	Parent - Pella 86: 44.18	IA 2004
0.5	0.0454545454545454	Parent - Elgin 87: 49.20	IA 2021
0.5	0.0454545454545454	Parent - Jack: 49.34	IA 2036
0.5	0.0454545454545454	Parent - Chamberlain: 47.67	IA 3003
0.5	0.0454545454545454	Parent - Jack: 49.34	Ina
0.5	0.0454545454545454	Parent - Jack: 49.34	INA
0.5	0.0454545454545454	Parent - Corsoy: 48.94	IVR Ex212
0.5	0.0454545454545454	Parent - Amsoy: 42.93	IVR Ex4426
0.5	0.0454545454545454	Parent - Corsoy: 48.94	IVR Ex4428
0.5	0.0454545454545454	Parent - Amsoy: 42.93	IVR Ex4731
0.5	0.0454545454545454	Parent - Williams: 47.11	J103
0.5	0.0454545454545454	Parent - Corsoy: 48.94	Jewel
0.5	0.0454545454545454	Parent - Williams: 47.11	K1022
0.5	0.0454545454545454	Parent - Calland: 42.19	K1028
0.5	0.107438016528926	Parent - Williams: 47.11	K1028
0.5	0.107438016528926	Parent - Richland: 37.55	Kanrich
0.5	0.0454545454545454	Parent - Beeson 80: 43.78	Keller
0.5	0.0454545454545454	Parent - Lincoln: 38.80	Kent
0.5	0.0454545454545454	Parent - Elgin: 50.96	Kenwood
0.5	0.0454545454545454	Parent - Kenwood: 55.50	Kenwood 94
0.5	0.0454545454545454	Parent - Clark: 36.51	Kino
0.5	0.0454545454545454	Parent - Harper: 48.03	KS3494
0.5	0.0454545454545454	Parent - Williams 82: 44.41	Kunitz
0.5	0.0454545454545454	Parent - Clark 63: 37.63	L12
0.5	0.0454545454545454	Parent - Clark 63: 37.63	L15
0.5	0.107438016528926	Parent - Wayne: 46.30	L15
0.5	0.0454545454545454	Parent - Calland: 42.19	L15 x Calland
0.5	0.0454545454545454	Parent - Century: 48.84	L2-3
0.5	0.0454545454545454	Parent - Williams: 47.11	L24
0.5	0.0454545454545454	Parent - Lincoln: 38.80	L46-1503
0.5	0.0454545454545454	Parent - Lincoln: 38.80	L46-1741
0.5	0.0454545454545454	Parent - Lincoln: 38.80	L46-1743
0.5	0.0454545454545454	Parent - Lincoln: 38.80	L46-2132
0.5	0.107438016528926	Parent - Richland: 37.55	L46-2132
0.5	0.0454545454545454	Parent - Lincoln: 38.80	L46-5679
0.5	0.0454545454545454	Parent - Adams: 40.65	L57-0034
0.5	0.107438016528926	Parent - Clark: 36.51	L57-0034
0.5	0.0454545454545454	Parent - Clark: 36.51	L59-0034
0.5	0.0454545454545454	Parent - Harosoy: 43.04	L60-347-1-60-2B
0.5	0.0454545454545454	Parent - Harosoy: 43.04	L60-347-4-4G-2-B
0.5	0.0454545454545454	Parent - Clark: 36.51	L62-1926
0.5	0.0454545454545454	Parent - Harosoy: 43.04	L62-535
0.5	0.0454545454545454	Parent - Harosoy: 43.04	L62-667
0.5	0.0454545454545454	Parent - Harosoy: 43.04	L63-1397
0.5	0.0454545454545454	Parent - Wayne: 46.30	L65-1342
0.5	0.0454545454545454	Parent - Wayne: 46.30	L66-1359
0.5	0.0454545454545454	Parent - Calland: 42.19	L66L-137
0.5	0.0454545454545454	Parent - Wayne: 46.30	L66L-140
0.5	0.0454545454545454	Parent - Wayne: 46.30	L66L-144
0.5	0.107438016528926	Parent - Wayne: 46.30	L66L-154
0.5	0.0454545454545454	Parent - Wayne: 46.30	L66L-172
0.5	0.0454545454545454	Parent - Calland: 42.19	L69U-37-17-5
0.5	0.0454545454545454	Parent - Calland: 42.19	L69U40-16-4
0.5	0.0454545454545454	Parent - Amsoy 71: 41.89	L707-543G
0.5	0.0454545454545454	Parent - Amsoy: 42.93	L70T-543G
0.5	0.0454545454545454	Parent - Williams: 47.11	L72U-2567
0.5	0.0454545454545454	Parent - Corsoy: 48.94	L73-4673
0.5	0.0454545454545454	Parent - Beeson: 41.73	L74-3897
0.5	0.107438016528926	Parent - Williams: 47.11	L74-3897
0.5	0.107438016528926	Parent - Williams: 47.11	L74-619
0.5	0.0454545454545454	Parent - Williams: 47.11	L74D-619
0.5	0.0454545454545454	Parent - Corsoy: 48.94	L75-3632
0.5	0.0454545454545454	Parent - Williams: 47.11	L75-8020
0.5	0.0454545454545454	Parent - Williams: 47.11	L76-0253
0.5	0.0454545454545454	Parent - Union: 41.24	L77-1233
0.5	0.0454545454545454	Parent - Union: 41.24	L77-443
0.5	0.107438016528926	Parent - Williams: 47.11	L77-906
0.5	0.107438016528926	Parent - Williams: 47.11	L77-994
0.5	0.0454545454545454	Parent - Williams 82: 44.41	L80-4323
0.5	0.0454545454545454	Parent - Williams 82: 44.41	L82C-1212
0.5	0.0454545454545454	Parent - Calland: 42.19	Lawrence
0.5	0.107438016528926	Parent - Williams: 47.11	Lawrence
0.5	0.0454545454545454	Parent - Dwight: 52.75	LD00-3309
0.5	0.107438016528926	Parent - Maverick: 52.00	LD00-3309
0.5	0.0454545454545454	Parent - IA 3010: 56.53	LD01_5907
0.5	0.0454545454545454	Parent - IA 3010: 56.53	LD01-5907
0.5	0.0454545454545454	Parent - IA 3010: 56.53	LD02_4485
0.5	0.0454545454545454	Parent - IA 3010: 56.53	LD02-4485
0.5	0.107438016528926	Parent - LS93-0375: 47.06	LD02-9050
0.5	0.107438016528926	Parent - LS93-0375: 47.06	LD02-950
0.5	0.0454545454545454	Parent - Lawrence: 37.96	LG82-8195
0.5	0.0454545454545454	Parent - Lawrence: 37.96	LG82-8224
0.5	0.0454545454545454	Parent - Century: 48.84	LG89-7793
0.5	0.0454545454545454	Parent - Lawrence: 37.96	LG90-4181
0.5	0.0454545454545454	Parent - Elgin: 50.96	LG91-7431
0.5	0.0454545454545454	Parent - Flyer: 45.30	LG94-4667
0.5	0.107438016528926	Parent - Lincoln: 38.80	Lincoln x CNS
0.5	0.107438016528926	Parent - Lincoln: 38.80	Lincoln x Flambeau
0.5	0.0454545454545454	Parent - Lincoln: 38.80	Lincoln x Richland
0.5	0.107438016528926	Parent - Richland: 37.55	Lincoln x Richland
0.5	0.0454545454545454	Parent - Korean: 40.11	(Lincoln x Richland) x Korean
0.5	0.0454545454545454	Parent - Lindarin: 43.78	Lindarin 63
0.5	0.0454545454545454	Parent - Williams 82: 44.41	Linford
0.5	0.0454545454545454	Parent - Union: 41.24	LN78-257
0.5	0.0454545454545454	Parent - Jack: 49.34	LN92-11008
0.5	0.0454545454545454	Parent - Burlison: 50.34	LN92-7369
0.5	0.0454545454545454	Parent - Jack: 49.34	LN97-24270
0.5	0.107438016528926	Parent - Macon: 52.77	LN97-24270
0.5	0.0454545454545454	Parent - Jack: 49.34	Loda
0.5	0.0454545454545454	Parent - Amsoy: 42.93	Logan
0.5	0.0454545454545454	Parent - Lincoln: 38.80	M10
0.5	0.107438016528926	Parent - Richland: 37.55	M10
0.5	0.0454545454545454	Parent - Lincoln: 38.80	M319
0.5	0.0454545454545454	Parent - Lincoln: 38.80	M319W
0.5	0.0454545454545454	Parent - Harosoy: 43.04	M406
0.5	0.0454545454545454	Parent - Lincoln: 38.80	M42-37
0.5	0.0454545454545454	Parent - Harosoy: 43.04	M54-110
0.5	0.0454545454545454	Parent - Korean: 40.11	M54-240
0.5	0.107438016528926	Parent - Harosoy: 43.04	M60-406
0.5	0.0454545454545454	Parent - Corsoy: 48.94	M63-217Y
0.5	0.0454545454545454	Parent - Corsoy: 48.94	M67-141
0.5	0.0454545454545454	Parent - Beeson: 41.73	M68-303
0.5	0.0454545454545454	Parent - Corsoy: 48.94	M75-89
0.5	0.0454545454545454	Parent - Harper: 48.03	Magellan
0.5	0.0454545454545454	Parent - Harosoy 63: 40.94	Maple Arrow
0.5	0.0454545454545454	Parent - Elgin 87: 49.20	Marcus x Elgin 87
0.5	0.0454545454545454	Parent - Amsoy: 42.93	Marion
0.5	0.0454545454545454	Parent - Amsoy: 42.93	Matsoy
0.5	0.107438016528926	Parent - Resnik: 51.29	Maverick
