xmin	xmax	clickSelects	showSelected	group
0.0454545454545455	0.0523941707147814	Magellan	Chr01	1461
0.053165240188141	0.0601048654483769	LD02-9050	Chr01	1101
0.0608759349217365	0.0678155601819724	S06-13640	Chr01	2041
0.0685866296553319	0.0755262549155679	Maverick	Chr01	1501
0.0762973243889274	0.0832369496491634	LG97-7012	Chr01	1401
0.0840080191225229	0.0909476443827589	LG98-1605	Chr01	1421
0.0917187138561184	0.0986583391163544	Skylla	Chr01	2101
0.0994294085897139	0.10636903384995	LG90-2550	Chr01	1321
0.107140103323309	0.114079728583545	LG94-1128	Chr01	1361
0.114850798056905	0.121790423317141	NE3001	Chr01	1601
0.1225614927905	0.129501118050736	LG04-6000	Chr01	1221
0.130272187524096	0.137211812784332	LD01-5907	Chr01	1061
0.137982882257691	0.144922507517927	LD02-4485	Chr01	1081
0.145693576991287	0.152633202251523	LG00-3372	Chr01	1141
0.153404271724882	0.160343896985118	Lee	Chr01	1121
0.161114966458478	0.168054591718714	LG94-1906	Chr01	1381
0.168825661192073	0.175765286452309	CL0J173-6-8	Chr01	401
0.176536355925669	0.183475981185905	PI507681B	Chr01	1801
0.184247050659264	0.1911866759195	Ford	Chr01	661
0.19195774539286	0.198897370653096	HS6-3976	Chr01	881
0.199668440126455	0.206608065386691	Essex	Chr01	641
0.207379134860051	0.214318760120287	PI574486	Chr01	1861
0.215089829593646	0.222029454853882	Lawrence	Chr01	1021
0.222800524327242	0.229740149587478	LG92-1255	Chr01	1341
0.230511219060837	0.237450844321073	Harosoy	Chr01	781
0.238221913794433	0.245161539054669	LG04-4717	Chr01	1201
0.245932608528028	0.252872233788264	5M20-2-5-2	Chr01	41
0.253643303261624	0.26058292852186	Hagood	Chr01	741
0.261353997995219	0.268293623255455	LG05-4317	Chr01	1261
0.269064692728815	0.276004317989051	LG05-4832	Chr01	1301
0.27677538746241	0.283715012722646	Prohio	Chr01	1921
0.284486082196006	0.291425707456242	PI398881	Chr01	1721
