colour	x	y	label	showSelected	showSelected2
#C71585	0.0489243580846634	0.533030303030303	Magellan	Chr01	Magellan
#CD8500	0.0566350528182589	0.409393939393939	LD02-9050	Chr01	LD02-9050
#FFA54F	0.0643457475518544	0.39969696969697	S06-13640	Chr01	S06-13640
#00E5EE	0.0720564422854499	0.366969696969697	Maverick	Chr01	Maverick
#EE3B3B	0.0797671370190454	0.272121212121212	LG97-7012	Chr01	LG97-7012
#00868B	0.0874778317526409	0.298484848484848	LG98-1605	Chr01	LG98-1605
#20B2AA	0.0951885264862364	0.263636363636364	Skylla	Chr01	Skylla
#B3EE3A	0.102899221219832	0.266363636363636	LG90-2550	Chr01	LG90-2550
#CD00CD	0.110609915953427	0.213030303030303	LG94-1128	Chr01	LG94-1128
#00FF00	0.118320610687023	0.228484848484848	NE3001	Chr01	NE3001
#6CA6CD	0.126031305420618	0.238787878787879	LG04-6000	Chr01	LG04-6000
#668B8B	0.133742000154214	0.192424242424242	LD01-5907	Chr01	LD01-5907
#556B2F	0.141452694887809	0.21030303030303	LD02-4485	Chr01	LD02-4485
#DEB887	0.149163389621405	0.191818181818182	LG00-3372	Chr01	LG00-3372
#DB7093	0.156874084355	0.21030303030303	Lee	Chr01	Lee
#EE00EE	0.164584779088596	0.152424242424242	LG94-1906	Chr01	LG94-1906
#8B2252	0.172295473822191	0.17030303030303	CL0J173-6-8	Chr01	CL0J173-6-8
#BF3EFF	0.180006168555787	0.178181818181818	PI507681B	Chr01	PI507681B
#EE9572	0.187716863289382	0.131818181818182	Ford	Chr01	Ford
#00CDCD	0.195427558022978	0.156060606060606	HS6-3976	Chr01	HS6-3976
#00688B	0.203138252756573	0.135151515151515	Essex	Chr01	Essex
#EEC591	0.210848947490169	0.16969696969697	PI574486	Chr01	PI574486
#F4A460	0.218559642223764	0.123636363636364	Lawrence	Chr01	Lawrence
#CD7054	0.22627033695736	0.140909090909091	LG92-1255	Chr01	LG92-1255
#36648B	0.233981031690955	0.157878787878788	Harosoy	Chr01	Harosoy
#CD6839	0.241691726424551	0.111515151515152	LG04-4717	Chr01	LG04-4717
#EE799F	0.249402421158146	0.146363636363636	5M20-2-5-2	Chr01	5M20-2-5-2
#9A32CD	0.257113115891742	0.127878787878788	Hagood	Chr01	Hagood
#9B30FF	0.264823810625337	0.164242424242424	LG05-4317	Chr01	LG05-4317
#6495ED	0.272534505358933	0.118787878787879	LG05-4832	Chr01	LG05-4832
#FF7F24	0.280245200092528	0.134545454545455	Prohio	Chr01	Prohio
#96CDCD	0.287955894826124	0.152121212121212	PI398881	Chr01	PI398881
#A0522D	0.295666589559719	0.106363636363636	PI404188A	Chr01	PI404188A
#48D1CC	0.303377284293315	0.142121212121212	LG05-4464	Chr01	LG05-4464
#A020F0	0.31108797902691	0.122121212121212	PI518751	Chr01	PI518751
#CD3700	0.318798673760506	0.156666666666667	PI437169B	Chr01	PI437169B
#FA8072	0.326509368494101	0.110909090909091	LD00-3309	Chr01	LD00-3309
#EE3A8C	0.334220063227697	0.128787878787879	Hawkeye	Chr01	Hawkeye
#EEA2AD	0.341930757961292	0.146666666666667	PI561370	Chr01	PI561370
#FF4500	0.349641452694888	0.100606060606061	LG05-4292	Chr01	LG05-4292
#E066FF	0.357352147428483	0.136666666666667	TN05-3027	Chr01	TN05-3027
#FF3E96	0.365062842162079	0.117878787878788	CL0J095-4-6	Chr01	CL0J095-4-6
#4169E1	0.372773536895674	0.153939393939394	Ralsoy	Chr01	Ralsoy
#BCEE68	0.38048423162927	0.108181818181818	PI427136	Chr01	PI427136
#458B74	0.388194926362865	0.125151515151515	Douglas	Chr01	Douglas
#A2CD5A	0.395905621096461	0.140909090909091	PI 88.788	Chr01	PI 88.788
#CD5555	0.403616315830056	0.0951515151515152	Kanro	Chr01	Kanro
#EE30A7	0.411327010563652	0.130606060606061	A.K. (Harrow)	Chr01	A.K. (Harrow)
#0000FF	0.419037705297247	0.112121212121212	Dorman	Chr01	Dorman
#FFA500	0.426748400030843	0.148484848484848	U03-100612	Chr01	U03-100612
#FF6A6A	0.434459094764438	0.102121212121212	Clemson	Chr01	Clemson
#551A8B	0.442169789498034	0.119393939393939	PI 180.501	Chr01	PI 180.501
#3A5FCD	0.449880484231629	0.137272727272727	Bonus	Chr01	Bonus
#D2B48C	0.457591178965225	0.0918181818181818	Haberlandt	Chr01	Haberlandt
#43CD80	0.46530187369882	0.127575757575758	Illini	Chr01	Illini
#698B69	0.473012568432416	0.109393939393939	Tokyo	Chr01	Tokyo
#483D8B	0.480723263166011	0.144848484848485	LG03-2979	Chr01	LG03-2979
#8B475D	0.488433957899607	0.0990909090909091	Dunfield	Chr01	Dunfield
#9AC0CD	0.496144652633202	0.116969696969697	Capital	Chr01	Capital
#EEB4B4	0.503855347366798	0.134545454545455	Forrest	Chr01	Forrest
#CD96CD	0.511566042100393	0.0887878787878788	Hill	Chr01	Hill
#CD3333	0.519276736833989	0.125151515151515	Hutcheson	Chr01	Hutcheson
#B22222	0.526987431567584	0.106060606060606	Jackson	Chr01	Jackson
#00BFFF	0.53469812630118	0.141515151515152	Amsoy	Chr01	Amsoy
#EE8262	0.542408821034775	0.0957575757575758	4J105-3-4	Chr01	4J105-3-4
#CD1076	0.550119515768371	0.113636363636364	Braxton	Chr01	Braxton
#EE9A49	0.557830210501966	0.131818181818182	Cook	Chr01	Cook
#8FBC8F	0.565540905235562	0.0863636363636364	Perry	Chr01	Perry
#B23AEE	0.573251599969157	0.122424242424242	IA3023	Chr01	IA3023
#CD6600	0.580962294702753	0.104242424242424	Pickett	Chr01	Pickett
#698B22	0.588672989436348	0.14	Lincoln	Chr01	Lincoln
#5D478B	0.596383684169944	0.0936363636363636	Bragg	Chr01	Bragg
#CD69C9	0.604094378903539	0.111818181818182	Centennial	Chr01	Centennial
